hsib1 hsib2 Probability
L0480 L0872 0.159
L0480 L0364 0.988
L0480 L1649 0.985
L0480 L0485 0.928
L0480 L1278 0.991
L0480 L0487 0.997
L0464 L0393 0.998
L0464 L1103 0.993
L0461 L0278 0.426
L0461 L2524 0.966
L0461 L1658 0.003
L0460 L0860 0.964
L0458 L1008 0.887
L0458 L2239 0.050
L0981 L2496 0.941
L0981 L0307 0.877
L0981 L1594 0.893
L0981 L1615 0.923
L1250 L2238 0.002
L1250 L1099 0.789
L1010 L0484 0.912
L1010 L0320 0.859
L1008 L2239 0.093
L2499 L0470 0.951
L2499 L0265 0.694
L2499 L1593 0.633
L0774 L0287 0.952
L0774 L0273 0.918
L0774 L0441 0.346
L0774 L1114 0.555
L0774 L0339 0.963
L0774 L1598 0.215
L2497 L0474 0.988
L2497 L0836 0.950
L2497 L1658 0.058
L0944 L0399 0.587
L0944 L0369 0.713
L0944 L0299 0.980
L0944 L0281 0.933
L0944 L1074 0.681
L0944 L0274 0.995
L0944 L2442 0.990
L0944 L2232 0.249
L0944 L0417 0.993
L0773 L0891 0.506
L0773 L0889 0.960
L0773 L1078 0.587
L0773 L1592 0.942
L0773 L1042 0.092
L0979 L1249 0.596
L0979 L0357 0.955
L0979 L0641 0.289
L0979 L0296 0.340
L0979 L0457 0.983
L0979 L1315 0.346
L0891 L0889 0.979
L0891 L1078 0.012
L0891 L1042 0.803
L1249 L0374 0.961
L1249 L0357 0.197
L1249 L0641 0.992
L1249 L0296 0.999
L1249 L1074 0.998
L1249 L1658 0.590
L1249 L0457 0.964
L1249 L1315 0.941
L1274 L1263 0.990
L1274 L1100 0.901
L1274 L0431 0.198
L1274 L1671 0.568
L0695 L0456 0.893
L0890 L0878 0.357
L0890 L0870 0.581
L0890 L0369 0.949
L0890 L0433 0.872
L0890 L0274 0.987
L0890 L2235 0.598
L0890 L0666 0.907
L0694 L0474 0.982
L0694 L0266 0.634
L0694 L1214 0.996
L0694 L1722 0.167
L1231 L0482 0.001
L1231 L0853 0.001
L1724 L1107 0.725
L1724 L1688 0.996
L1724 L1180 0.997
L0889 L0644 0.001
L0889 L1078 0.957
L0889 L1042 0.909
L1226 L1660 0.999
L0978 L0682 0.953
L0978 L0326 0.004
L0978 L0292 0.124
L0978 L0257 0.967
L0978 L2235 0.978
L0978 L1313 0.998
L0978 L2200 0.947
L0978 L1628 0.975
L1210 L0768 0.022
L1210 L1269 0.022
L1210 L1215 0.896
L1210 L0418 0.022
L1210 L1617 0.996
L1210 L0341 0.968
L1210 L0371 0.022
L0692 L1677 0.647
L0691 L0432 0.290
L0691 L0339 0.516
L0689 L0478 0.052
L0689 L0338 0.732
L0689 L0341 0.055
L0689 L0690 0.928
L0688 L0882 0.994
L0688 L0473 0.757
L0688 L0408 0.710
L0688 L0654 0.979
L2496 L2395 0.002
L2496 L1697 0.616
L2496 L0307 0.887
L2496 L1615 0.968
L2496 L0379 0.998
L2496 L0403 0.367
L2496 L0437 0.685
L0885 L2236 0.217
L0885 L0659 0.530
L0885 L0366 0.190
L0885 L1085 0.849
L0885 L0320 0.949
L0885 L0382 0.989
L0885 L0853 0.996
L0885 L2233 0.997
L0885 L1317 0.957
L0885 L0275 0.980
L0975 L0262 0.559
L0975 L1260 0.994
L0975 L1645 0.875
L0883 L0860 0.670
L0883 L1613 0.935
L0883 L1646 0.986
L0883 L0333 0.952
L1006 L2443 0.419
L1006 L0299 0.991
L1006 L0281 0.989
L1006 L1658 0.004
L1006 L2232 0.529
